Number of  User,h2h_high,h2h_mediu,h2h_low,m2m_high,m2m_medium,m2m_low,P=40
5,1.5018,1.256,2,0.568,1.0259,1.25089,
10,2.115,1.639,2.7061,0.81,1.3124,1.801,
15,2.088,2.345,3.34,1.015,1.55,1.98,
20,2.66,3.005,3.785,1.392,1.8901,2.381,
25,2.9,3.508,4.59348,1.68,2.1944,2.44,
30,3.811,4.46805,5.2668,2.02958,2.4335,2.9,
35,4.57,5.5644,6.38442,2.31372,3.382,3.843,
40,4.96,5.8,7.0939,2.95962,3.775,4.505,
45,5.83,6.713,7.9664,3.5973,4.333,4.833,
50,6.35,7.864,8.934,4.145,4.896,5.517,
55,7.2854,7.97,9.025,5.167,5.872,6.511,
60,7.65,8.795,9.53,5.621,6.208,6.827,
65,8.18,8.98465,9.941,5.941,7.23574,7.202,
70,8.801,9.2992,10.296801,6.881,7.9575,8.102,
75,9.58,9.9599,10.42905,7.389,8.0404,8.88,
80,9.913,10.38218,10.83,8.059,8.813,9.2689,
85,10.255,10.8364,11.294,8.2451,8.95246,9.597,
90,10.131,10.9,11.432435,8.3768,9.12479,9.62916,
95,10.6105,11.1352,11.945,8.5333,9.266,9.738,
100,10.688,11.2635,12.0337,8.68273,9.438,9.856,
