4th epoch,15th epoch,30th epoch,49th epoch,69th epoch,91st epoch,110th epoch
2,0,0,2,2,4,6
4,0,0,2,2,4,6
4,0,0,2,2,2,6
4,0,2,2,2,2,6
4,0,2,2,2,4,4
4,0,2,4,2,4,4
4,0,2,2,2,2,4
4,0,2,2,2,2,2
4,0,2,2,2,0,2
4,2,2,2,2,0,2
4,2,2,2,2,0,2
4,2,2,2,2,2,0
4,2,2,2,2,2,2
4,0,2,2,2,4,2
4,0,2,2,2,2,2
4,0,2,2,2,4,2
4,0,2,4,2,6,2
4,0,2,4,2,2,2
4,0,2,4,2,4,4
4,0,2,4,2,4,4
4,2,2,4,2,6,4
4,2,2,4,2,6,2
4,0,0,4,2,6,2
4,0,0,4,2,4,2
4,0,0,4,2,0,2
4,0,0,4,2,0,4
4,0,2,4,2,0,4
4,0,2,2,2,0,4
4,0,2,2,2,0,2
4,2,2,2,2,2,2
4,2,2,2,2,2,
4,4,2,2,2,2,
4,6,2,2,4,4,
4,6,2,2,4,0,
4,6,2,2,2,0,
4,2,2,2,2,0,
4,2,2,4,4,0,
4,4,2,2,2,0,
4,4,2,2,2,0,
4,4,2,2,2,2,
4,4,2,2,2,2,
4,4,2,2,2,0,
4,4,2,4,2,4,
4,4,2,2,2,0,
4,4,2,2,2,2,
4,4,2,4,2,0,
4,4,2,2,2,0,
4,4,2,2,2,0,
4,4,2,2,2,2,
4,4,4,2,2,,
4,4,4,2,2,,
4,4,4,2,2,,
4,4,4,4,2,,
4,4,4,2,2,,
4,4,4,2,2,,
4,4,4,2,2,,
4,4,4,2,2,,
4,4,2,0,2,,
4,4,2,2,2,,
2,2,2,0,2,,
2,2,2,0,2,,
2,2,2,0,2,,
2,2,4,2,2,,
2,2,2,0,2,,
2,2,2,2,2,,
2,2,2,2,4,,
2,2,2,0,,,
2,2,2,0,,,
2,2,2,2,,,
2,2,2,0,,,
2,2,2,0,,,
2,2,2,2,,,
2,2,4,0,,,
2,2,2,0,,,
2,2,2,0,,,
2,2,2,2,,,
2,2,4,2,,,
2,2,2,2,,,
2,2,2,,,,
2,2,2,,,,
2,2,4,,,,
2,2,2,,,,
2,2,2,,,,
2,4,4,,,,
2,4,2,,,,
2,4,2,,,,
2,4,2,,,,
2,4,4,,,,
2,2,4,,,,
2,2,4,,,,
2,4,2,,,,
2,4,2,,,,
2,4,4,,,,
2,4,2,,,,
2,4,2,,,,
2,0,2,,,,
2,0,2,,,,
2,0,4,,,,
2,0,4,,,,
2,0,4,,,,
2,2,2,,,,
2,0,2,,,,
2,0,2,,,,
2,0,2,,,,
2,0,,,,,
2,0,,,,,
2,0,,,,,
2,0,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,0,,,,,
0,0,,,,,
0,2,,,,,
0,0,,,,,
0,2,,,,,
0,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
0,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,4,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
0,,,,,,
0,,,,,,
0,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
2,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
