1st epoch,23rd epoch,35th epoch,47th epoch,64th epoch,99th epoch,110th epoch
0,2,2,0,0,2,0
0,4,2,0,0,2,0
0,4,2,2,0,2,0
0,2,2,4,0,2,0
0,2,2,4,2,2,2
0,2,2,4,2,2,2
0,2,4,4,2,2,2
0,2,4,4,2,2,4
0,2,4,4,2,2,4
0,2,4,4,2,2,4
0,2,4,4,2,2,4
0,2,2,4,2,2,4
0,2,2,4,2,2,2
0,2,2,4,2,2,2
0,2,2,4,2,2,2
0,2,2,4,2,2,2
2,2,2,4,2,2,
2,2,4,4,2,2,
2,2,4,4,0,2,
2,4,2,2,0,2,
2,4,2,2,0,2,
2,4,2,2,2,0,
2,4,2,2,4,0,
2,4,2,2,2,0,
2,4,2,2,2,0,
2,4,2,2,0,2,
2,4,2,2,0,,
2,4,2,2,2,,
2,4,2,2,2,,
2,4,2,2,0,,
2,4,2,2,0,,
2,4,2,2,0,,
2,4,0,2,2,,
2,4,0,2,2,,
2,2,0,4,2,,
2,2,0,2,2,,
2,2,0,2,2,,
2,2,2,2,0,,
2,2,2,2,0,,
2,2,2,2,2,,
2,2,2,2,2,,
2,2,2,2,2,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,2,,,
2,2,2,,,,
2,2,0,,,,
2,2,0,,,,
2,2,0,,,,
2,2,2,,,,
2,2,0,,,,
2,2,2,,,,
2,2,0,,,,
2,2,0,,,,
2,2,0,,,,
2,2,0,,,,
2,2,2,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,2,,,,,
2,0,,,,,
2,2,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
