1st Epoch,53rd Epoch,147th Epoch,221st Epoch,384th Epoch,391st Epoch,553rd Epoch
8,6,8,10,12,10,13
8,6,8,10,10,10,11
8,6,8,12,10,10,11
8,6,8,12,10,10,9
8,6,8,12,10,10,9
8,6,8,11,8,6,11
10,4,6,11,7,6,11
11,6,9,13,7,6,11
11,6,7,11,8,4,11
11,6,7,8,8,6,11
11,5,7,8,7,8,8
8,6,6,6,7,8,8
10,6,6,6,7,8,6
10,5,6,4,6,8,6
10,8,6,4,6,4,2
10,6,6,4,5,8,2
10,6,6,6,7,10,4
10,6,6,4,8,10,4
10,10,7,4,6,8,4
10,8,7,4,6,8,4
10,8,7,6,6,8,
10,8,6,6,6,8,
10,8,6,8,4,10,
10,8,6,10,6,6,
10,8,6,8,6,6,
10,8,7,8,8,8,
8,8,7,8,6,8,
9,8,7,9,6,6,
9,8,7,8,6,4,
9,8,6,8,6,4,
9,6,6,8,8,4,
7,8,7,4,8,2,
7,11,7,4,10,2,
7,11,6,5,8,4,
7,10,6,6,6,4,
7,4,6,5,8,2,
7,4,6,7,8,4,
7,4,6,6,6,4,
7,4,6,4,10,6,
7,8,4,4,8,6,
7,10,6,4,4,4,
7,6,7,6,4,4,
7,6,6,5,6,2,
7,10,7,6,8,2,
7,10,7,6,6,4,
7,10,7,8,4,4,
7,8,6,4,6,2,
6,10,6,5,8,2,
6,10,6,9,6,2,
6,10,6,6,8,2,
7,8,6,6,4,4,
7,8,6,6,6,2,
7,8,5,6,4,4,
7,10,6,4,8,4,
9,10,4,7,2,2,
11,10,4,6,2,,
9,6,4,8,2,,
9,6,4,6,4,,
8,8,6,4,4,,
8,8,6,6,4,,
8,8,6,9,4,,
8,10,6,8,4,,
8,10,6,4,4,,
8,10,6,2,2,,
8,8,6,2,4,,
8,8,6,4,6,,
8,6,6,4,4,,
8,6,10,4,4,,
8,6,8,6,4,,
7,6,6,4,2,,
8,6,8,8,4,,
7,6,6,6,2,,
9,6,8,10,2,,
9,7,8,2,4,,
8,7,6,2,2,,
10,7,6,4,2,,
10,9,6,6,2,,
11,9,6,6,2,,
11,9,8,4,4,,
11,8,8,4,4,,
12,8,8,6,2,,
12,8,8,4,2,,
13,8,8,4,4,,
12,8,8,6,4,,
11,9,9,8,4,,
9,9,8,6,,,
9,4,8,8,,,
7,4,8,6,,,
9,6,6,2,,,
7,8,5,4,,,
7,9,5,2,,,
9,9,5,2,,,
9,9,6,2,,,
9,9,8,4,,,
8,9,6,4,,,
8,5,9,4,,,
8,5,6,4,,,
9,5,6,6,,,
9,5,9,6,,,
8,5,8,6,,,
10,5,8,6,,,
10,5,8,6,,,
11,6,9,2,,,
11,5,9,2,,,
11,6,9,4,,,
12,6,9,4,,,
12,4,9,2,,,
13,5,9,4,,,
12,4,9,2,,,
11,5,7,2,,,
9,6,7,4,,,
9,4,7,6,,,
9,5,7,4,,,
12,5,7,4,,,
12,4,7,4,,,
12,4,7,2,,,
9,5,7,4,,,
9,4,7,4,,,
8,4,4,4,,,
8,4,4,6,,,
8,4,8,2,,,
9,4,8,4,,,
7,6,7,2,,,
6,4,7,2,,,
6,4,8,4,,,
6,4,8,4,,,
8,4,6,2,,,
10,4,8,2,,,
10,4,8,,,,
10,4,5,,,,
10,4,5,,,,
10,4,2,,,,
8,4,2,,,,
8,4,2,,,,
6,5,2,,,,
6,4,2,,,,
7,4,2,,,,
7,4,4,,,,
7,6,4,,,,
9,4,4,,,,
9,4,4,,,,
11,4,4,,,,
11,4,4,,,,
9,5,4,,,,
11,5,4,,,,
9,4,4,,,,
9,4,2,,,,
8,4,4,,,,
10,4,2,,,,
10,4,5,,,,
9,4,2,,,,
9,5,4,,,,
8,3,4,,,,
8,4,4,,,,
8,5,2,,,,
8,4,2,,,,
8,4,2,,,,
9,4,2,,,,
8,4,2,,,,
6,4,2,,,,
7,4,2,,,,
7,4,2,,,,
7,4,2,,,,
7,4,,,,,
9,4,,,,,
9,4,,,,,
9,5,,,,,
8,3,,,,,
8,4,,,,,
8,4,,,,,
8,3,,,,,
8,4,,,,,
6,4,,,,,
8,4,,,,,
6,4,,,,,
6,4,,,,,
7,4,,,,,
7,4,,,,,
6,4,,,,,
6,4,,,,,
6,4,,,,,
6,4,,,,,
4,4,,,,,
4,4,,,,,
4,3,,,,,
4,4,,,,,
7,4,,,,,
7,4,,,,,
7,3,,,,,
6,4,,,,,
8,3,,,,,
6,3,,,,,
8,3,,,,,
8,5,,,,,
8,4,,,,,
4,2,,,,,
4,3,,,,,
4,3,,,,,
6,2,,,,,
4,2,,,,,
6,1,,,,,
4,2,,,,,
4,2,,,,,
6,2,,,,,
4,,,,,,
6,,,,,,
2,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
4,,,,,,
5,,,,,,
3,,,,,,
4,,,,,,
4,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
2,,,,,,
4,,,,,,
2,,,,,,
4,,,,,,
2,,,,,,
