All_on,GA_off,GA_on,Hash_on,Hash_off,MOSA_on,MOSA_off,
0.008303307,0.007003929,0.085028648,0.006999731,0.009382088,0.006001711,0.00620226,0.130000591
0.007002115,0.004998518,0.006976604,0.004999876,0.007000208,0.006019831,0.006008387,0.005979538
0.00702405,0.0059793,0.00600028,0.00399971,0.006001472,0.005021811,0.006000996,0.004978657
0.007000685,0.005999804,0.004981041,0.026998758,0.00602603,0.006000996,0.006001234,0.00602293
0.004999638,0.004599472,0.005000353,0.005999565,0.006022215,0.033025503,0.005999565,0.005798135
0.00460028,0.004802333,0.006975889,0.005999327,0.006982565,0.004999399,0.0060215,0.0051793
0.004099954,0.004700353,0.008000374,0.004982233,0.006700851,0.005001068,0.004980803,0.00300028
,0.004583021,0.004982471,0.003983021,0.006000757,0.006999969,0.005037785,
,,0.003999472,0.004999161,0.00570028,0.005016565,0.005996777,
,,0.007000685,0.004024029,,0.004984617,0.005719831,
,,0.006017208,0.004006147,,,0.005697896,
,,0.005999327,0.004000187,,,0.004802022,
,,0.007000685,0.004997658,,,,
,,0.007001162,0.004000425,,,,
