All OFF,GA ON,Hash ON,MOSA OFF,MOSA ON,Hash OFF,GA OFF,All ON
0.05022749,0.091797167,0.062048427,0.032668681,0.043742569,0.020764051,0.026164236,0.101881375
0.038367029,0.072183828,0.012973603,0.018812853,0.010242099,0.011124898,0.005395391,0.039898323
0.039944055,0.023890994,0.025199352,0.008942762,0.0023933,0.011208782,0.023362182,0.008394408
0.021718091,0.010234521,0.005919127,0.005031747,0.00085901,0.011411845,0.004767993,0.002196975
0.01135089,0.003247741,0.001197417,0.001320258,0.008762472,0.002291221,0.001445455,0.000853116
0.010067826,0.003303851,0.001170627,0.000535352,0.002063046,0.001876062,0.00034767,0.000181965
0.01420497,0.001455762,0.000352091,0.000877976,0.000833062,0.000966921,0.000349614,4.10405E-05
0.005892847,0.000487932,0.000166504,0.000303356,0.000468652,0.000211232,9.91304E-05,
0.018441833,0.073936887,0.003018772,0.001317584,0.000140897,5.42121E-05,,
0.004809898,0.014834007,0.005514651,0.000826542,8.78034E-05,,,
0.010644027,0.003008476,0.001151121,0.000170851,,,,
0.003730114,0.000619526,0.000267529,6.98089E-05,,,,
0.013294716,0.00014134,0.000227634,,,,,
0.006995583,4.45353E-05,6.48612E-05,,,,,
0.001554805,,,,,,,
